country,iso2c,year,jw_rank,jw_persr,jw_domr,jw_avgballot,jw_avgpool,jw_avgvote,dem_age,maj,mdmh,totalseats,mdmh.1,mdmhDum,day,month,Video,Start.Footage.,No.start,No.join,TimeToPeak.sec,No.atPeak,RangeNoPeak.low,RangeNoPeak.high,PeakLength.sec,R.involved,R.start,No.Names,No.Injuries,Total,TotalPropSeats
KUWAIT,KW,2011,0,13,13,2,2,2,0,0.419999986886978,10,50,10,District Mag. > 1,19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,"""Several""",7,0.14
SRI LANKA,LK,2002,NA,3,3,1,0,1,2,0.362445414066315,11.5,229,11.5,District Mag. > 1,24,7,N,N,NA,NA,NA,NA,NA,NA,NA,Several,NA,0,0,5,0.0218340611353712
SRI LANKA,LK,2004,NA,3,3,1,0,1,0,0.362445414066315,11.5,229,11.5,District Mag. > 1,8,6,Y,N,20,25,20,40,35,60,183,5+,5+,2,2,40,0.174672489082969
"MOLDOVA, REPUBLIC OF",MD,2000,NA,1,1,0,0,0,8,0.615384638309479,101,104,101,District Mag. > 1,1,12,Y,Y ,2,0,43,2,NA,NA,15,Multiple,NA,1,0,2,0.0192307692307692
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",MK,2007,NA,NA,NA,NA,NA,NA,17,0.791666686534882,20,120,20,District Mag. > 1,25,9,N,N,NA,NA,NA,NA,NA,NA,NA,"""Several""",NA,2,3,5,0.0416666666666667
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",MK,2012,NA,NA,NA,NA,NA,NA,22,0.577235758304596,20,120,20,District Mag. > 1,23,12,Y,Y,2,40,87,50,40,60,60,6+,NA,3,2,50,0.416666666666667
MEXICO,MX,1988,0,6,6,0.6,1.2,0.6,0,0.726130664348602,16.6000003814697,398,16.6000003814697,District Mag. > 1,10,9,N,N,NA,NA,NA,NA,NA,NA,NA,~5,NA,0,0,5,0.0125628140703518
MEXICO,MX,1997,0,6,6,0.6,1.2,0.6,1,0.600000023841858,16.6000003814697,500,16.6000003814697,District Mag. > 1,12,9,N,N,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,2,0.004
MEXICO,MX,1998,0,6,6,0.6,1.2,0.6,2,0.477999985218048,16.6000003814697,500,16.6000003814697,District Mag. > 1,28,11,N,N,NA,NA,NA,NA,NA,NA,NA,3+,2,0,0,4,0.008
MEXICO,MX,2006,0,6,6,0.6,1.2,0.6,10,0.340000003576279,16.6000003814697,500,16.6000003814697,District Mag. > 1,12,1,N,N,NA,NA,NA,NA,NA,NA,NA,"""Multiple""",2,0,0,5,0.01
MEXICO,MX,2006,0,6,6,0.6,1.2,0.6,10,0.340000003576279,16.6000003814697,500,16.6000003814697,District Mag. > 1,30,11,Y,N,40,20,12,2,30,50,20,"""Several""",NA,1,0,2,0.004
NIGERIA,NG,1999,NA,10,10,2,2,1,0,NA,NA,0,-999,NA,5,8,N,N,NA,NA,NA,NA,NA,NA,NA,2+,2,2,0,3,NA
NIGERIA,NG,2010,NA,10,10,2,2,1,0,0.727019488811493,1,359,1,District Mag. = 1,23,6,Y,N,2,0,7,2,2,4,5,4,NA,0,1,2,0.00557103064066852
NICARAGUA,NI,2004,0,1,1,0,0,0,15,0.510869562625885,7.59999990463257,92,7.59999990463257,District Mag. > 1,25,3,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA
NEPAL,NP,1998,NA,NA,NA,NA,NA,NA,0,0.517073154449463,2.70000004768372,205,2.70000004768372,District Mag. > 1,17,9,N,N,NA,NA,NA,NA,NA,NA,NA,"""Multiple""",NA,0,0,5,0.024390243902439
NEPAL,NP,2001,NA,NA,NA,NA,NA,NA,3,0.626865684986115,2.70000004768372,201,2.70000004768372,District Mag. > 1,19,2,N,N,NA,NA,NA,NA,NA,NA,NA,Multiple,NA,1,0,5,0.0248756218905473
NEPAL,NP,2002,NA,NA,NA,NA,NA,NA,0,0.61951220035553,2.70000004768372,205,2.70000004768372,District Mag. > 1,18,3,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPAL,NP,2010,NA,NA,NA,NA,NA,NA,5,0.658901810646057,195.589996337891,601,195.589996337891,District Mag. > 1,18,12,Y,N,2,50,25,50,50,75,30,NA,NA,1,0,50,0.0831946755407654
PAKISTAN,PK,1998,NA,NA,NA,NA,NA,NA,11,0.759803950786591,1,204,1,District Mag. = 1,11,6,Y,Y,2,0,12,2,NA,NA,15,2,2,0,0,2,0.00980392156862745
PAKISTAN,PK,2009,0,10,10,1.5906432748538,1.5906432748538,0.795321637426901,0,0.258928567171097,1,336,1,District Mag. = 1,1,3,Y,Y,3,0,32,3,3,6,25,3 to 10,NA,0,0,3,0.00892857142857143
RUSSIAN FEDERATION,RU,1992,NA,NA,NA,NA,NA,NA,0,NA,NA,1068,NA,NA,4,12,N,N,NA,NA,NA,NA,NA,NA,NA,3 to 10,2,0,0,6.5,0.00608614232209738
RUSSIAN FEDERATION,RU,1994,0,10,1,1,1,0.5,0,0.375,113,304,113,District Mag. > 1,9,4,N,N,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,2,0.00657894736842105
RUSSIAN FEDERATION,RU,1995,0,10,1,1,1,0.5,0,0.550964176654816,113,363,113,District Mag. > 1,9,9,N,N,NA,NA,NA,NA,NA,NA,NA,4,4,3,0,4,0.0110192837465565
RUSSIAN FEDERATION,RU,1999,0,10,1,1,1,0.5,0,0.323442131280899,113,337,113,District Mag. > 1,15,5,Y,N,2,0,1,2,NA,NA,11,"""Dozens""",NA,0,0,2,0.00593471810089021
RUSSIAN FEDERATION,RU,1999,0,10,1,1,1,0.5,0,0.323442131280899,113,337,113,District Mag. > 1,31,3,N,N,NA,NA,NA,NA,NA,NA,NA,Multiple,NA,0,0,5,0.0148367952522255
