"iso2c","year","federal"
"BR",1997,1
"BR",1998,1
"BR",1999,1
"BR",2000,1
"BR",2001,1
"BR",2002,1
"BR",2003,1
"BR",2004,1
"BR",2005,1
"BR",2006,1
"BR",2007,1
"BR",2008,1
"BR",2009,1
"BS",1980,NA
"BS",1981,NA
"BS",1982,NA
"BS",1983,NA
"BS",1984,NA
"BS",1985,NA
"BS",1986,NA
"BS",1987,NA
"BS",1988,NA
"BS",1989,NA
"BS",1990,NA
"BS",1991,NA
"BS",1992,NA
"BS",1993,NA
"BS",1994,NA
"BS",1995,NA
"BS",1996,NA
"BS",1997,NA
"BS",1998,NA
"BS",1999,NA
"BS",2000,NA
"BS",2001,NA
"BS",2002,NA
"BS",2003,NA
"BS",2004,NA
"BS",2005,NA
"BS",2006,NA
"BS",2007,NA
"BS",2008,NA
"BT",1980,NA
"BT",1981,NA
"BT",1982,NA
"BT",1983,NA
"BT",1984,NA
"BT",1985,NA
"BT",1986,NA
"BT",1987,NA
"BT",1988,NA
"BT",1989,NA
"BT",1990,NA
"BT",1991,NA
"BT",1992,NA
"BT",1993,NA
"BT",1994,NA
"BT",1995,NA
"BT",1996,NA
"BT",1997,NA
"BT",1998,NA
"BT",1999,NA
"BT",2000,NA
"BT",2001,NA
"BT",2002,NA
"BT",2003,NA
"BT",2004,NA
"BT",2005,NA
"BT",2006,NA
"BT",2007,NA
"BT",2008,NA
"BT",2009,NA
"BW",1980,0
"BW",1981,0
"BW",1982,0
"BW",1983,0
"BW",1984,0
"BW",1985,0
"BW",1986,0
"BW",1987,0
"BW",1988,0
"BW",1989,0
"BW",1990,0
"BW",1991,0
"BW",1992,0
"BW",1993,0
"BW",1994,0
"BW",1995,0
"BW",1996,0
"BW",1997,0
"BW",1998,0
"BW",1999,0
"BW",2000,0
"BW",2001,0
"BW",2002,0
"BW",2003,0
"BW",2004,0
"BW",2005,0
"BW",2006,0
"BW",2007,0
"BW",2008,0
"BW",2009,0
"BY",1991,NA
"BY",1992,NA
"BY",1993,NA
"BY",1994,NA
"BY",1995,NA
"BY",1996,NA
"BY",1997,NA
"BY",1998,NA
