country,day,month,year,Video,Start Footage?,No.start,No.join,TimeToPeak.sec,No.atPeak,RangeNoPeak.low,RangeNoPeak.high,PeakLength.sec,R.involved,R.start,No.Names,No.Injuries,URL
Turkey,30,3,1989,N,N,,,,,,,,3,2,3,0,
Turkey,1,3,2001,N,N,,,,,,,,3+,2,1,1-Death,
Turkey,26,9,2007,N,N,,,,,,,,~12,2,0,0,
Turkey,5,5,2010,N,N,,,,,,,,5 to 10,,0,0,
Turkey,8,4,2013,Y,N,2,0,20,2,,,15,Several,2,2,1,
Turkey,15,2,2014,,,,,,,,,,2+,,2,2,http://www.nytimes.com/2014/02/16/world/europe/a-brawl-and-then-a-vote-to-rein-in-turkish-courts.html?partner=rss&emc=rss&smid=tw-nytimes
Ukraine,19,10,1994,N,N,,,,,,,,,,0,0,
Ukraine,14,5,1997,N,N,,,,,,,,,,0,0,
Ukraine,12,12,2002,N,N,,,,,,,,,,1,0,
Ukraine,6,7,2005,N,N,,,,,,,,Several ,,0,0,
Ukraine,6,7,2006,Y,N,6,0,19,6,4,8,33,3+,2--3,3,0,
Ukraine,4,11,2008,Y,N,4,4,14,8,4,8,30,,,0,0,http://www.youtube.com/watch?v=cD0XZlxKuig
Ukraine,27,4,2010,Y,N,2,4,1,6,6,10,27,,,1,1,
Ukraine,16,12,2010,Y,N,20,0,13,25,20,40,17,,,3,4,
Ukraine,13,12,2012,Y,Y,2,30+,18,35,30,45,35,,,1 (boxer who did not participate),0,
Ukraine,24,5,2012,Y,Y,4,30+,55,30,30,45,30,,,1,1,
Ukraine,9,2,2006,Y,N,6,0,19,6,4,6,15,,,,,http://www.cbsnews.com/video/watch/?id=1305555n
Ukraine,19,4,2013,Y,Y,3,25,25,4,,,10,"""Lawmakers""",,0,0,http://www.telegraph.co.uk/news/worldnews/europe/ukraine/9942004/Ukrainian-MPs-in-mass-brawl-after-Russian-is-spoken-in-Parliament.html
Ukraine,16,1,2014,Y,Y,3,15,,,,,,,,,1,http://www.telegraph.co.uk/news/worldnews/europe/ukraine/10578372/MPs-fight-in-Ukraine-parliament.html
US-Alabama,7,6,2007,Y,Y,2,0,2,2,,,13,2,2,2,0,
Venezuela,25,9,2003,N,N,,,,,,,,2,2,2,1,
Venezuela,11,3,2011,Y,Y,2,0,34,2,,,9,5+,2,2,0,http://www.dailymotion.com/video/xgzn4n_brawl-breaks-out-in-venezuelan-parliament_news
Venezuela,1,5,2013,Y,Y,4--8,,15,,,,,,,17+,1,
Venezuela,5,10,2004,N,N,,,,,,,,2,2,2,0,
Yemen,17,1,2013,N,N,,,,,,,,2,2,2,0,
Yugoslavia,26,3,2001,N,N,,,,,,,,2,2,2,0,
Zimbabwe,18,5,2004,N,N,,,,,,,,3,3,3,0,
Zimbabwe,16,7,2009,Y,Y,2,1,35,2,2,3,20,,,,,
Zimbabwe,16,9,2012,Y,Y,2,0,3,2,,,10,,,,,
